keys,en
upgrades.obel1skmercilessthresholdhandlingspeed.desc,"While the capacitor charge is above threshold, reload time and fire rate are improved."
upgrades.obel1skmercilessthresholdnospread.title,Tension Resistance
upgrades.obel1skmercilessthresholdnospread.desc,"While the capacitor charge is above threshold, the reticle loses all spread."
upgrades.obel1skmercilessdamagebuildup.title,Structural Retrofit
upgrades.obel1skmercilessdamagebuildup.desc,"By attaching the the capacitor directly to the tip of the obel1sk, charge gets built up proportional to any direct damage you deal instead of when monsters die. Stored charge can be contained without decay, however it becomes vastly more volatile in the process."
upgrades.obel1skbeampiercing.title,Piercing Beam
upgrades.obel1skbeampiercing.desc,"The beam does not stop at monsters it hits."
upgrades.obel1skstoredamage.title,Revenge
upgrades.obel1skstoredamage.desc,"The dome stores damage it takes. When shooting, the stored damage gets added to the shot, up to double its base damage."
properties.obel1sk.damage,Damage {}
properties.obel1sk.damagemult,Damage Multiplier {.percent}
properties.obel1sk.reticlespreadadd,Additional Reticle Spread {}
properties.obel1sk.singletarget,Single Target Shots
properties.obel1sk.radiusoutline,Radius Outline for Explosions
properties.obel1sk.stun,Stun Strength {}
properties.obel1sk.radius,Explosion Radius {}
properties.obel1sk.stunradius,Stun Radius {.percent}
properties.obel1sk.nukeechodps,Radiation Damage per Second {}
properties.obel1sk.spreadradiationondeath,Spread radiation on death
properties.obel1sk.explosiondelay,Explosion Delay {}s
properties.obel1sk.maxrestdamagemult,Maximum Rest Damage Multiplier {.percent}
properties.obel1sk.fullrestdamageadd,Bonus Damage at Full Rest {}
properties.obel1sk.arcrange,Arc Range {}
properties.obel1sk.arcdamage,Arc Base Damage per Second {}
properties.obel1sk.arcinitialdamage,Damage on Arc {}
properties.obel1sk.arcdamagepermonster,Bonus Damage per Chained Monster {}
properties.obel1sk.arcduration,Arc Duration {}s
properties.obel1sk.maxammo,Ammo Capacity {}
properties.obel1sk.maxquickreloadwindow,Quick Reload Window {}s
properties.obel1sk.speedwhileshooting,Reticle Speed While Shooting {.percent}
properties.obel1sk.batterychargespeed,Ammo Recharge per Second {}
properties.obel1sk.burstcount,Shots per Burst {}
properties.obel1sk.speedwhilespecialslow,Precision Speed on Special {.percent}
properties.obel1sk.shootdelay,Time Between Shots {}s
properties.obel1sk.shootdelayreduction,Time Between Shots reduced by {}s
properties.obel1sk.maxshootdelayreduction,Time Reduction at Full Spooling {}s
properties.obel1sk.shootdelayreductionincrease,Time Reduction Gain {}s
properties.obel1sk.reloadtime,Reload Time {}s
properties.obel1sk.batterydelay,Time Before Recharge Starts {}s
properties.obel1sk.reloadtimereduction,Reload Time Reduction {}s
properties.obel1sk.reloadtimemult,Reduces all Reload Time to {.percent}
properties.obel1sk.beamradiancemult,Surrounding Radiance Damage {.percent}
properties.obel1sk.beamwidth,Beam Width {}
properties.obel1sk.beamradiancewidth,Radiance Width {}
properties.obel1sk.piercingbeam,Piercing Beam
properties.obel1sk.maxreticlespeed,Reticle Speed {}
properties.obel1sk.ammorefillonkill,Ammo refilled on kill {.percent}
properties.obel1sk.lastshotdamagemult,Last Shot Damage {.percent}
properties.obel1sk.spreadlossonkill,Gain complete reticle accuracy on kill
properties.obel1sk.spreadlossonkillduration,Full accuracy duration {}s
properties.obel1sk.reticlespeedaddonshoot,Bonus speed after shooting {}
properties.obel1sk.reticlespeedaddonshootduration,Keep bonus speed for {}s
properties.obel1sk.restdamagedecaymult,Lose bonus damage at {.percent} speed
properties.obel1sk.deathcandleminduration,Death Candle minimum lifetime {}s
properties.obel1sk.deathcandlemaxduration,Death Candle maximum lifetime {}s
properties.obel1sk.spreaddecreaseonhit,Spread Reduction on Hit {}
properties.obel1sk.shootingspreadmax,Maximum Shooting Spread {}
properties.obel1sk.autoaimduration,Auto Aim Duration {}s
properties.obel1sk.storeddamagemax,Damage Storage Limit {}
properties.obel1sk.emptyreloadtimemult,Overheat Reload Time {.percent}
level.station.battle.navbar.slowreticle,Slow Reticle
upgrades.domeobel1skhealth1.title,Health 1
upgrades.domeobel1skhealth1.desc,Permanently increase the structural health of your dome.
upgrades.domeobel1skhealth2.title,Health 2
upgrades.domeobel1skhealth2.desc,Permanently increase the structural health of your dome.
upgrades.domeobel1skironrepair.title,Scrap Repair
upgrades.domeobel1skironrepair.desc,"Repair damage to your dome with iron. While efficient, it decreases the dome's structural integrity in the long run."
upgrades.domeobel1skmaxrestore.title,Dome Restoration
upgrades.domeobel1skmaxrestore.desc,Fully heal the structural integrity of your dome.
upgrades.domeobel1skadaptation.title,Reactive Cupola
upgrades.domeobel1skadaptation.desc,"After the dome is hit, it temporarily reduces further damage. Damage resistance can stack."
upgrades.domeobel1skadaptationduration.title,Stabilized Cupola
upgrades.domeobel1skadaptationduration.desc,"Prolong the time the damage reduction is active."
upgrades.domeobel1skhealthmeter.title,Health Meter
upgrades.domeobel1skhealthmeter.desc,Displays the dome's structural health.
upgrades.domeobel1skwavemeter.title,Hostile Proximity Meter
upgrades.domeobel1skwavemeter.desc,Displays the time until the next wave of hostile lifeforms attack.
upgrades.domeobel1skwavecount.title,Cycle Counter
upgrades.domeobel1skwavecount.desc,Install a counter that shows how many waves you've survived.
upgrades.domeobel1skresourcecounters.title,Inventory
upgrades.domeobel1skresourcecounters.desc,Displays the current amount of stored resources.
upgrades.obel1skdamage1.title,Damage 1
upgrades.obel1skdamage1.desc,Multiplies direct damage.
upgrades.obel1skdamage2.title,Damage 2
upgrades.obel1skdamage2.desc,Further multiplies direct damage.
upgrades.obel1skdeathcandles.title,Death Candles
upgrades.obel1skdeathcandles.desc,Deceased monsters leave behind ephemeral auras that slow down those left alive. Duration of the candles is proportional to monster health.
